id,flight agent,price,departure,arrival,duration,booking url
"13542-2208011700--32480-0-9320-2208012055",lolt,744.31 EUR,2022-08-01 17:00:00,2022-08-01 20:55:00,2.92,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-32480|2796|13542|2022-08-01T17:00|9320|2022-08-01T20:55|175|-|-|-&carriers=-32480&operators=-32222&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=744.31&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|-7120684947832185354|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13542-2208011045--32221,-32222-1-9320-2208012055",gtfr,490.99 EUR,2022-08-01 10:45:00,2022-08-01 20:55:00,9.17,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/gtfr/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-32221|3715|13542|2022-08-01T10:45|13870|2022-08-01T14:15|150|-|-|-;flight|-32222|8950|13870|2022-08-01T19:40|9320|2022-08-01T20:55|75|-|-|-&carriers=-32221,-32222&operators=-32221;-32639&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=490.99&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJL0krEmLmuKUixczxwkOhYf2c6WxGTAqMAPzpHpkcAAAA|1491149056500495767|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13542-2208011045--32221-1-9320-2208020840",gtfr,498.99 EUR,2022-08-01 10:45:00,2022-08-02 08:40:00,20.92,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/gtfr/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-32221|3715|13542|2022-08-01T10:45|13870|2022-08-01T14:15|150|-|-|-;flight|-32221|3866|13870|2022-08-02T07:25|9320|2022-08-02T08:40|75|-|-|-&carriers=-32221&operators=-32221;-32221&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=498.99&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJL0krEmLmuKUixczxwkOhYf2c6WxGTAqMAPzpHpkcAAAA|1461659230223892521|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13554-2208010910--32332-1-9320-2208011740",skyp,488.0 EUR,2022-08-01 09:10:00,2022-08-01 17:40:00,7.50,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/skyp/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32332|2463|13554|2022-08-01T09:10|16577|2022-08-01T11:50|100|-|Y|-;flight|-32332|2670|16577|2022-08-01T14:45|9320|2022-08-01T17:40|175|-|Y|-&carriers=-32332&operators=-32332;-31506&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=488.00&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mIpzq4sEGLmuKUixczxwkOhYf2c6WxGTAqMACYGqGkcAAAA|5466893007606741394|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13554-2208011305--32480,-32222-1-9320-2208012055",lolt,601.74 EUR,2022-08-01 13:05:00,2022-08-01 20:55:00,6.83,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32480|460|13554|2022-08-01T13:05|13870|2022-08-01T16:35|150|-|-|-;flight|-32222|8950|13870|2022-08-01T19:40|9320|2022-08-01T20:55|75|-|-|-&carriers=-32480,-32222&operators=-32480;-32639&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=601.74&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|5008504517806409616|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208011945--32677-1-9320-2208021150",lolt,747.91 EUR,2022-08-01 19:45:00,2022-08-02 11:50:00,15.08,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32677|1181|13554|2022-08-01T19:45|10413|2022-08-01T22:00|75|-|-|-;flight|-32677|9420|10413|2022-08-02T09:15|9320|2022-08-02T11:50|155|-|-|-&carriers=-32677&operators=-32677;-32677&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=747.91&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|-7613125236600360579|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208011810--32753-1-9320-2208022005",gtfr,531.99 EUR,2022-08-01 18:10:00,2022-08-02 20:05:00,24.92,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/gtfr/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32753|175|13554|2022-08-01T18:10|11154|2022-08-01T19:35|85|-|-|-;flight|-32753|586|11154|2022-08-02T16:10|9320|2022-08-02T20:05|175|-|-|-&carriers=-32753&operators=-32753;-32753&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=531.99&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJL0krEmLmuKUixczxwkOhYf2c6WxGTAqMAPzpHpkcAAAA|-2386695638402052205|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13554-2208010720--32480,-32222-1-9320-2208011700",ctma,653.0 EUR,2022-08-01 07:20:00,2022-08-01 17:00:00,8.67,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/ctma/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32480|458|13554|2022-08-01T07:20|13870|2022-08-01T10:50|150|-|-|-;flight|-32222|8948|13870|2022-08-01T15:45|9320|2022-08-01T17:00|75|-|-|-&carriers=-32480,-32222&operators=-32480;-32639&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=653.00&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJLslNFGLmuKUixczxwkOhYf2c6WxGTAqMAOxs2UAcAAAA|-826453659723011816|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13771-2208011745--30972-0-9320-2208012140",wizz,191.39 EUR,2022-08-01 17:45:00,2022-08-01 21:40:00,2.92,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/wizz/1/13771.9320.2022-08-01/air/airli/flights?itinerary=flight|-30972|5123|13771|2022-08-01T17:45|9320|2022-08-01T21:40|175|-|-|Basic&carriers=-30972&operators=-30972&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=191.39&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mIpz6yqEmLmOJ0txczxwkOhYf2c6WxGTAqMACUtFSUcAAAA|1193370093647598924|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208012030--31901-1-9320-2208020950",sasa,485.33 EUR,2022-08-01 20:30:00,2022-08-02 09:50:00,12.33,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/sasa/1/13554.9320.2022-08-01/air/airli/flights?itinerary=flight|-31901|1508|13554|2022-08-01T20:30|10694|2022-08-01T23:20|110|EEOGHT|E|LEMEA;flight|-31901|6201|10694|2022-08-02T06:00|9320|2022-08-02T09:50|230|EEOGHT|E|LEMEA&carriers=-31901&operators=-31901;-31901&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=485.33&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mIpTixOFGLmuKUixczxwkOhYf2c6WxGTAqMABvoqsccAAAA|-7513812150024728390|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
